EmployeeNumber,Gender,Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,HourlyRate,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
484,Male,21,No,Non-Travel,Sales,9,Medical,1,39,Sales Representative,4,Single,2610,1,No,24,4,3,3,2,3,2,2,2
485,Female,33,Yes,Travel_Rarely,Sales,5,Marketing,4,34,Sales Representative,3,Single,2851,1,Yes,13,3,1,2,3,1,0,0,0
486,Female,37,No,Travel_Rarely,Research & Development,10,Medical,3,98,Laboratory Technician,1,Married,3452,6,No,20,4,17,3,3,5,4,0,3
487,Female,46,No,Non-Travel,Research & Development,7,Medical,3,30,Manufacturing Director,3,Married,5258,2,No,14,3,7,2,4,1,0,0,0
488,Male,41,Yes,Travel_Frequently,Sales,4,Marketing,1,56,Sales Executive,2,Single,9355,1,No,18,3,8,5,3,8,7,7,7
491,Male,50,No,Travel_Rarely,Research & Development,10,Technical Degree,4,100,Healthcare Representative,4,Single,10496,6,No,15,3,20,2,3,4,3,1,3
492,Male,40,Yes,Travel_Rarely,Sales,22,Marketing,3,68,Sales Executive,3,Married,6380,2,Yes,12,3,8,6,3,6,4,1,0
493,Male,31,No,Travel_Rarely,Research & Development,9,Life Sciences,3,42,Research Scientist,2,Single,2657,0,Yes,16,3,3,5,3,2,2,2,2
494,Female,21,Yes,Travel_Rarely,Sales,12,Life Sciences,3,90,Sales Representative,2,Single,2716,1,No,15,3,1,0,3,1,0,0,0
495,Male,29,No,Travel_Rarely,Research & Development,23,Life Sciences,4,54,Research Scientist,4,Single,2201,9,No,16,3,6,4,3,3,2,1,2
496,Male,35,No,Travel_Rarely,Research & Development,9,Life Sciences,3,97,Healthcare Representative,2,Single,6540,9,No,19,3,10,5,3,1,1,0,0
497,Male,27,No,Travel_Rarely,Research & Development,1,Medical,4,82,Laboratory Technician,2,Divorced,3816,1,No,11,3,5,2,3,5,2,0,4
498,Male,28,No,Travel_Rarely,Sales,9,Life Sciences,2,92,Sales Executive,4,Single,5253,1,No,16,3,7,1,3,7,5,0,7
499,Male,49,No,Travel_Rarely,Research & Development,7,Other,2,31,Healthcare Representative,3,Single,10965,8,No,24,4,26,2,3,5,2,0,0
500,Female,51,No,Travel_Rarely,Sales,14,Life Sciences,3,87,Sales Executive,4,Married,4936,4,No,11,3,18,2,2,7,7,0,7
501,Female,36,No,Travel_Rarely,Research & Development,2,Life Sciences,4,96,Research Scientist,3,Married,2543,4,No,13,3,6,3,3,2,2,2,2
502,Male,34,Yes,Non-Travel,Sales,19,Marketing,1,67,Sales Executive,4,Single,5304,8,Yes,13,3,9,3,2,5,2,0,4
505,Female,55,No,Travel_Rarely,Research & Development,2,Life Sciences,3,97,Manager,4,Single,16659,2,Yes,13,3,30,2,3,5,4,1,2
507,Female,24,No,Travel_Rarely,Sales,10,Marketing,4,77,Sales Executive,3,Divorced,4260,1,Yes,12,3,5,2,4,5,2,0,3
508,Male,30,No,Travel_Rarely,Sales,2,Technical Degree,3,72,Sales Representative,2,Married,2476,1,No,18,3,1,3,3,1,0,0,0
510,Male,26,Yes,Travel_Frequently,Research & Development,3,Technical Degree,3,73,Research Scientist,1,Single,3102,0,No,22,4,7,2,3,6,4,0,4
511,Female,22,No,Travel_Rarely,Research & Development,11,Medical,1,43,Research Scientist,2,Married,2244,1,No,13,3,2,1,3,2,1,1,2
513,Male,36,No,Travel_Rarely,Sales,2,Medical,2,61,Sales Executive,3,Married,7596,1,No,13,3,10,2,3,10,9,9,0
514,Male,30,Yes,Travel_Frequently,Research & Development,4,Technical Degree,3,40,Research Scientist,4,Single,2285,9,Yes,23,4,3,4,3,1,0,0,0
515,Female,37,No,Travel_Rarely,Research & Development,14,Life Sciences,4,95,Laboratory Technician,1,Divorced,3034,1,No,12,3,18,2,2,18,7,12,17
516,Female,40,No,Travel_Rarely,Sales,2,Marketing,4,46,Sales Executive,2,Divorced,5715,7,No,12,3,8,5,3,5,4,1,3
517,Female,42,No,Travel_Rarely,Research & Development,1,Life Sciences,2,95,Laboratory Technician,1,Divorced,2576,3,No,16,3,8,5,3,5,2,1,2
518,Male,37,No,Travel_Rarely,Research & Development,10,Life Sciences,3,49,Manufacturing Director,2,Single,4197,2,Yes,12,3,18,2,2,1,0,0,1
520,Male,43,No,Travel_Rarely,Research & Development,12,Life Sciences,1,59,Research Director,2,Divorced,14336,1,No,11,3,25,3,3,25,10,3,9
521,Female,40,No,Travel_Rarely,Research & Development,2,Medical,2,78,Laboratory Technician,3,Married,3448,6,No,22,4,20,3,3,1,0,0,0
522,Male,54,No,Travel_Rarely,Research & Development,5,Medical,1,86,Research Director,1,Married,19406,4,No,11,3,24,4,2,4,2,1,2
523,Female,34,No,Non-Travel,Sales,4,Marketing,3,72,Sales Executive,3,Married,6538,9,No,15,3,6,3,3,3,2,1,2
524,Female,31,No,Travel_Rarely,Research & Development,7,Medical,2,31,Manufacturing Director,1,Married,4306,1,No,12,3,13,5,1,13,10,3,12
525,Male,43,No,Travel_Frequently,Research & Development,21,Medical,4,61,Laboratory Technician,4,Married,2258,7,No,20,4,8,1,3,3,2,1,2
526,Female,43,No,Travel_Rarely,Research & Development,8,Other,3,74,Healthcare Representative,3,Divorced,4522,4,Yes,14,3,8,3,3,5,2,0,2
527,Female,25,No,Travel_Rarely,Sales,4,Life Sciences,2,99,Sales Executive,4,Single,4487,1,Yes,11,3,5,3,3,5,4,1,3
529,Female,37,No,Non-Travel,Research & Development,25,Medical,2,72,Research Scientist,3,Married,4449,3,Yes,15,3,15,2,3,13,11,10,7
530,Male,31,No,Travel_Rarely,Research & Development,1,Life Sciences,4,98,Laboratory Technician,1,Married,2218,1,No,12,3,4,3,3,4,2,3,2
531,Male,39,No,Travel_Frequently,Research & Development,1,Life Sciences,2,52,Manager,3,Divorced,19197,1,Yes,14,3,21,3,3,21,8,1,6
532,Female,56,No,Travel_Frequently,Sales,6,Life Sciences,3,86,Sales Executive,1,Married,13212,9,No,11,3,36,0,2,7,7,7,7
533,Female,30,No,Travel_Rarely,Sales,12,Technical Degree,2,83,Sales Executive,3,Single,6577,0,No,11,3,6,6,3,5,4,4,4
534,Male,41,No,Travel_Rarely,Sales,1,Marketing,2,49,Sales Executive,1,Married,8392,1,No,16,3,10,2,3,10,7,0,7
536,Male,28,No,Travel_Rarely,Research & Development,17,Medical,3,79,Laboratory Technician,1,Divorced,4558,1,No,12,3,10,2,3,10,0,1,8
538,Male,25,Yes,Travel_Rarely,Research & Development,3,Medical,1,91,Laboratory Technician,1,Married,4031,5,No,13,3,6,5,3,2,2,0,2
543,Male,52,No,Travel_Rarely,Research & Development,3,Medical,4,39,Manufacturing Director,3,Married,7969,2,Yes,14,3,28,4,3,5,4,0,4
544,Male,45,No,Travel_Rarely,Research & Development,10,Life Sciences,1,69,Research Scientist,4,Married,2654,3,No,21,4,8,3,2,2,2,0,2
546,Female,52,No,Travel_Rarely,Research & Development,4,Life Sciences,4,30,Manager,4,Married,16555,2,No,13,3,31,2,1,5,2,1,4
547,Female,42,No,Travel_Frequently,Research & Development,29,Life Sciences,1,92,Research Scientist,3,Divorced,4556,2,No,11,3,19,3,3,5,4,0,2
548,Female,30,No,Travel_Rarely,Research & Development,2,Life Sciences,3,43,Manufacturing Director,4,Single,6091,2,No,20,4,11,2,3,5,4,0,2
549,Female,60,No,Travel_Rarely,Research & Development,7,Life Sciences,1,41,Manager,1,Married,19566,5,No,11,3,33,5,1,29,8,11,10
550,Female,46,No,Travel_Rarely,Research & Development,18,Medical,3,87,Manufacturing Director,3,Divorced,4810,2,No,14,3,19,5,2,10,7,0,8
551,Female,42,No,Travel_Frequently,Research & Development,28,Technical Degree,4,88,Healthcare Representative,4,Married,4523,0,No,11,3,7,4,4,6,5,0,4
554,Female,24,Yes,Travel_Rarely,Sales,1,Technical Degree,1,62,Sales Representative,2,Single,3202,1,Yes,16,3,6,4,3,5,3,1,4
555,Female,34,Yes,Travel_Frequently,Sales,6,Marketing,4,33,Sales Representative,3,Divorced,2351,0,No,16,3,3,3,2,2,2,1,0
556,Male,38,No,Travel_Frequently,Research & Development,2,Life Sciences,4,42,Laboratory Technician,4,Married,1702,1,Yes,23,4,1,3,3,1,0,0,0
558,Female,40,No,Travel_Rarely,Sales,2,Life Sciences,3,79,Manager,3,Married,18041,0,No,14,3,21,2,3,20,15,1,12
560,Female,26,No,Travel_Rarely,Research & Development,23,Life Sciences,1,90,Research Scientist,4,Divorced,2886,1,No,22,4,3,3,1,3,2,0,2
562,Male,30,No,Non-Travel,Research & Development,3,Life Sciences,3,53,Laboratory Technician,4,Married,2097,4,No,15,3,9,3,1,5,3,1,4
564,Male,29,No,Travel_Rarely,Research & Development,3,Medical,2,93,Research Director,3,Married,11935,1,No,18,3,10,2,3,10,2,0,7
565,Female,29,Yes,Travel_Rarely,Research & Development,25,Technical Degree,3,71,Research Scientist,2,Married,2546,5,No,16,3,6,2,4,2,2,1,1
566,Male,19,Yes,Travel_Rarely,Human Resources,2,Technical Degree,1,52,Human Resources,4,Single,2564,1,No,12,3,1,3,4,1,0,0,0
567,Female,30,No,Non-Travel,Sales,22,Other,3,69,Sales Executive,1,Married,8412,0,No,11,3,10,3,3,9,8,7,8
568,Male,57,No,Travel_Rarely,Sales,29,Marketing,1,56,Manager,4,Divorced,14118,3,No,12,3,32,3,2,1,0,0,0
569,Male,50,No,Travel_Rarely,Research & Development,29,Life Sciences,2,88,Manager,3,Married,17046,0,No,15,3,28,2,3,27,10,15,7
571,Female,30,No,Non-Travel,Research & Development,2,Medical,3,49,Laboratory Technician,4,Single,2564,0,No,14,3,12,2,2,11,7,6,7
573,Female,60,No,Travel_Frequently,Sales,28,Marketing,3,80,Sales Executive,1,Married,10266,4,No,19,3,22,5,4,18,13,13,11
574,Female,47,No,Travel_Rarely,Research & Development,2,Medical,1,65,Manufacturing Director,4,Divorced,5070,5,No,13,3,20,2,3,5,0,0,4
575,Male,46,No,Travel_Rarely,Research & Development,2,Life Sciences,1,51,Research Director,3,Married,17861,6,No,13,3,26,2,1,3,2,0,1
577,Male,35,No,Travel_Rarely,Research & Development,22,Life Sciences,4,46,Laboratory Technician,3,Single,4230,0,No,15,3,6,2,3,5,4,4,3
578,Female,54,No,Travel_Rarely,Research & Development,8,Life Sciences,3,42,Laboratory Technician,3,Single,3780,7,No,11,3,19,3,3,1,0,0,0
579,Male,34,No,Travel_Rarely,Research & Development,2,Life Sciences,4,62,Research Scientist,3,Divorced,2768,3,No,12,3,14,3,3,7,3,5,7
580,Female,46,No,Travel_Rarely,Sales,10,Marketing,3,94,Sales Executive,4,Married,9071,2,Yes,19,3,15,3,3,3,2,1,2
581,Male,31,No,Travel_Rarely,Research & Development,9,Life Sciences,3,33,Manufacturing Director,2,Divorced,10648,1,No,25,4,13,6,4,13,8,0,8
582,Male,33,Yes,Travel_Rarely,Research & Development,15,Medical,2,56,Manager,3,Married,13610,7,Yes,12,3,15,2,4,7,6,7,7
584,Male,33,Yes,Travel_Rarely,Research & Development,10,Medical,1,38,Laboratory Technician,4,Divorced,3408,7,No,13,3,8,2,3,4,3,1,3
585,Male,30,No,Travel_Rarely,Sales,7,Marketing,4,57,Sales Representative,2,Single,2983,0,No,14,3,4,3,3,3,2,1,2
586,Male,35,No,Travel_Rarely,Research & Development,16,Life Sciences,4,72,Healthcare Representative,3,Married,7632,4,Yes,12,3,10,2,3,8,7,0,0
587,Male,31,Yes,Travel_Frequently,Research & Development,20,Life Sciences,1,66,Healthcare Representative,3,Married,9824,3,No,12,3,12,2,3,1,0,0,0
590,Female,34,Yes,Travel_Frequently,Human Resources,23,Human Resources,2,43,Human Resources,1,Divorced,9950,9,Yes,15,3,11,2,3,3,2,0,2
591,Male,42,No,Travel_Frequently,Research & Development,5,Other,2,97,Laboratory Technician,3,Married,2093,4,No,17,3,8,4,3,2,2,2,0
592,Male,36,No,Non-Travel,Sales,10,Medical,2,32,Sales Executive,4,Single,9980,1,No,14,3,10,3,2,10,3,9,7
593,Male,22,Yes,Travel_Frequently,Research & Development,4,Technical Degree,3,99,Laboratory Technician,3,Single,3894,5,No,16,3,4,3,3,2,2,1,2
595,Female,48,No,Travel_Rarely,Sales,2,Marketing,2,37,Sales Executive,4,Married,4051,2,No,14,3,14,2,3,9,7,6,7
597,Female,55,No,Travel_Rarely,Sales,18,Life Sciences,1,83,Manager,2,Single,16835,3,No,23,4,37,2,3,10,9,7,7
599,Male,41,No,Non-Travel,Sales,10,Life Sciences,4,56,Sales Executive,4,Single,6230,7,No,14,3,16,3,3,14,3,1,10
600,Male,35,No,Travel_Rarely,Sales,1,Marketing,2,85,Sales Executive,3,Married,4717,9,No,11,3,15,2,3,11,9,6,9
601,Female,40,No,Travel_Rarely,Research & Development,6,Life Sciences,2,75,Manufacturing Director,3,Single,13237,7,No,15,3,22,3,3,20,6,5,13
602,Female,39,No,Travel_Frequently,Research & Development,8,Life Sciences,3,48,Laboratory Technician,3,Married,3755,1,No,11,3,8,3,3,8,3,0,7
604,Male,31,No,Travel_Rarely,Sales,2,Life Sciences,2,77,Sales Executive,4,Single,6582,4,Yes,13,3,10,2,4,6,5,0,5
605,Male,42,No,Travel_Rarely,Research & Development,24,Medical,4,56,Manufacturing Director,1,Married,7406,1,Yes,21,4,10,5,2,10,9,5,8
606,Male,45,No,Travel_Rarely,Sales,2,Other,4,61,Sales Executive,2,Married,4805,0,No,19,3,9,3,4,8,7,3,7
608,Female,26,Yes,Travel_Frequently,Human Resources,17,Life Sciences,2,58,Human Resources,3,Divorced,2741,0,Yes,11,3,8,2,2,7,7,1,0
611,Male,29,No,Travel_Rarely,Research & Development,19,Technical Degree,4,34,Manufacturing Director,4,Divorced,4262,4,No,12,3,8,2,4,3,2,1,2
612,Female,33,No,Travel_Rarely,Research & Development,1,Medical,1,95,Research Director,3,Divorced,16184,4,No,19,3,10,2,3,6,1,0,5
613,Male,31,No,Travel_Rarely,Sales,7,Life Sciences,3,44,Manager,4,Divorced,11557,9,No,21,4,10,3,2,5,4,0,1
614,Male,18,Yes,Travel_Frequently,Sales,5,Marketing,2,69,Sales Representative,2,Single,1878,1,Yes,14,3,0,3,3,0,0,0,0
615,Male,40,No,Non-Travel,Sales,28,Other,3,58,Sales Executive,1,Divorced,10932,3,No,15,3,20,2,3,1,0,0,1
616,Female,41,No,Non-Travel,Research & Development,2,Other,1,62,Healthcare Representative,3,Single,6811,2,Yes,17,3,10,3,3,8,7,0,7
618,Male,26,No,Travel_Rarely,Sales,29,Medical,1,45,Sales Executive,3,Divorced,4306,5,No,12,3,8,5,3,0,0,0,0
620,Female,35,No,Travel_Rarely,Sales,1,Medical,1,80,Sales Executive,3,Single,4859,1,No,16,3,5,3,3,5,4,0,3
621,Male,34,No,Travel_Rarely,Sales,21,Life Sciences,4,74,Sales Executive,4,Single,5337,1,No,12,3,10,3,3,10,7,5,7
622,Male,26,Yes,Travel_Rarely,Research & Development,24,Technical Degree,3,66,Laboratory Technician,4,Single,2340,1,Yes,18,3,1,3,1,1,0,0,0
623,Female,37,No,Travel_Rarely,Research & Development,1,Technical Degree,2,59,Manufacturing Director,4,Single,7491,4,No,17,3,12,3,4,6,5,1,2
624,Female,46,No,Travel_Frequently,Research & Development,18,Medical,1,86,Healthcare Representative,3,Married,10527,5,No,11,3,28,3,2,2,2,1,2
625,Female,41,No,Travel_Rarely,Sales,2,Life Sciences,2,91,Manager,1,Married,16595,7,No,16,3,22,2,3,18,16,11,8
626,Male,37,No,Non-Travel,Sales,9,Medical,1,69,Sales Executive,2,Divorced,8834,1,No,13,3,9,6,3,9,5,7,7
630,Male,52,No,Travel_Rarely,Research & Development,6,Technical Degree,4,78,Research Scientist,1,Divorced,5577,3,Yes,12,3,18,3,3,10,9,6,9
631,Male,32,Yes,Non-Travel,Sales,11,Other,4,60,Sales Executive,3,Married,4707,8,No,12,3,6,2,3,4,2,1,2
632,Male,24,No,Travel_Frequently,Sales,24,Medical,4,38,Sales Representative,4,Married,2400,0,No,13,3,3,3,3,2,2,2,1
634,Female,38,No,Travel_Rarely,Research & Development,10,Medical,3,76,Healthcare Representative,3,Married,9824,3,No,19,3,18,4,3,1,0,0,0
635,Female,37,No,Travel_Rarely,Research & Development,1,Life Sciences,2,65,Manufacturing Director,2,Married,6447,6,No,12,3,8,2,2,6,5,4,3
638,Male,49,No,Travel_Rarely,Research & Development,18,Life Sciences,4,58,Research Director,3,Divorced,19502,1,Yes,17,3,31,5,3,31,9,0,9
639,Male,24,No,Travel_Rarely,Research & Development,23,Medical,2,89,Research Scientist,4,Married,2725,1,Yes,11,3,6,3,3,6,5,1,4
641,Male,26,No,Travel_Rarely,Sales,28,Marketing,1,66,Sales Executive,2,Married,6272,1,No,20,4,6,5,4,5,3,1,4
643,Male,24,No,Travel_Rarely,Research & Development,17,Other,4,94,Laboratory Technician,2,Married,2127,1,No,21,4,1,2,3,1,0,0,0
644,Male,50,No,Travel_Frequently,Human Resources,3,Medical,1,99,Manager,2,Married,18200,1,No,11,3,32,2,3,32,5,10,7
645,Male,25,No,Travel_Rarely,Sales,13,Medical,2,40,Sales Representative,3,Married,2096,1,No,11,3,7,1,3,7,4,0,6
647,Female,24,Yes,Travel_Frequently,Research & Development,7,Life Sciences,1,55,Laboratory Technician,3,Married,2886,1,Yes,16,3,6,4,3,6,3,1,2
648,Male,30,Yes,Travel_Frequently,Sales,12,Life Sciences,2,74,Sales Representative,1,Married,2033,1,No,18,3,1,2,4,1,0,0,0
649,Male,34,No,Travel_Rarely,Research & Development,1,Life Sciences,2,83,Research Scientist,4,Married,3622,1,Yes,13,3,6,3,3,6,5,1,3
650,Male,31,Yes,Travel_Rarely,Sales,13,Medical,2,46,Sales Executive,1,Divorced,4233,2,No,17,3,9,2,1,3,1,1,2
652,Male,35,No,Travel_Rarely,Research & Development,25,Other,1,54,Laboratory Technician,4,Single,3681,4,No,14,3,9,3,3,3,2,0,2
653,Male,31,No,Travel_Rarely,Sales,6,Medical,1,66,Sales Executive,4,Divorced,5460,4,No,22,4,13,4,4,7,7,5,7
655,Female,27,No,Travel_Rarely,Research & Development,6,Medical,1,66,Research Scientist,3,Divorced,2187,0,No,12,3,6,5,2,5,3,0,3
656,Male,37,No,Travel_Rarely,Sales,2,Marketing,4,75,Sales Executive,3,Married,9602,4,Yes,11,3,17,3,2,3,0,1,0
657,Female,20,No,Travel_Rarely,Research & Development,1,Life Sciences,4,83,Research Scientist,2,Single,2836,1,No,13,3,1,0,4,1,0,0,0
659,Female,42,No,Travel_Rarely,Research & Development,2,Life Sciences,3,81,Healthcare Representative,4,Married,4089,1,No,13,3,10,4,3,10,2,2,2
661,Male,43,No,Travel_Rarely,Research & Development,6,Other,2,50,Research Director,4,Divorced,16627,4,Yes,14,3,21,3,2,1,0,0,0
662,Female,38,No,Travel_Rarely,Research & Development,1,Life Sciences,3,43,Research Scientist,1,Single,2619,3,No,17,3,8,3,2,0,0,0,0
663,Male,43,No,Travel_Frequently,Research & Development,9,Medical,4,72,Laboratory Technician,3,Divorced,5679,3,Yes,13,3,10,3,3,8,7,4,7
664,Female,48,No,Travel_Rarely,Research & Development,1,Life Sciences,4,40,Manager,1,Married,15402,7,No,11,3,21,3,1,3,2,0,2
665,Female,44,No,Travel_Rarely,Human Resources,1,Life Sciences,1,50,Human Resources,3,Single,5985,4,No,11,3,10,1,4,2,2,0,2
666,Female,34,No,Travel_Rarely,Sales,14,Technical Degree,3,31,Sales Representative,3,Divorced,2579,1,Yes,18,3,8,3,3,8,2,0,6
667,Male,27,Yes,Travel_Rarely,Sales,2,Marketing,3,85,Sales Representative,1,Divorced,3041,0,No,11,3,5,3,3,4,3,0,2
669,Male,21,No,Travel_Rarely,Sales,22,Technical Degree,3,49,Sales Representative,3,Single,3447,1,No,11,3,3,2,3,3,2,1,2
671,Male,44,No,Travel_Rarely,Research & Development,3,Other,4,35,Manager,4,Married,19513,4,Yes,12,3,26,2,4,2,2,0,1
675,Male,22,No,Travel_Rarely,Research & Development,6,Medical,1,69,Research Scientist,3,Married,2773,0,No,20,4,3,3,3,2,2,2,2
677,Male,33,No,Travel_Rarely,Sales,8,Marketing,3,39,Sales Executive,3,Divorced,7104,0,No,12,3,6,3,3,5,0,1,2
679,Female,32,No,Travel_Rarely,Research & Development,9,Life Sciences,1,92,Research Scientist,4,Married,6322,1,Yes,12,3,6,2,2,6,4,0,5
680,Female,30,No,Travel_Frequently,Research & Development,3,Medical,3,71,Research Scientist,3,Divorced,2083,1,No,20,4,1,2,3,1,0,0,0
682,Female,53,No,Travel_Rarely,Sales,1,Medical,4,34,Sales Executive,1,Single,8381,7,No,20,4,18,2,4,14,7,8,10
683,Male,34,No,Travel_Rarely,Research & Development,1,Life Sciences,2,42,Research Scientist,4,Married,2691,1,No,12,3,10,4,2,10,9,8,8
684,Female,45,Yes,Travel_Frequently,Sales,26,Life Sciences,1,100,Sales Executive,1,Married,4286,2,No,14,3,5,4,3,1,1,0,0
686,Female,26,No,Travel_Rarely,Research & Development,6,Life Sciences,3,71,Laboratory Technician,4,Married,2659,1,Yes,13,3,3,2,3,3,2,0,2
689,Male,37,No,Travel_Rarely,Research & Development,3,Other,3,36,Manufacturing Director,3,Married,9434,1,No,15,3,10,2,3,10,7,7,8
690,Female,29,No,Travel_Rarely,Sales,3,Medical,2,62,Sales Executive,3,Married,5561,1,No,14,3,6,5,2,6,0,1,2
691,Male,35,No,Travel_Rarely,Research & Development,6,Life Sciences,2,82,Research Scientist,4,Single,6646,1,No,13,3,17,3,3,17,11,11,8
692,Male,33,No,Travel_Frequently,Research & Development,6,Life Sciences,3,30,Healthcare Representative,4,Divorced,7725,3,No,23,4,15,2,1,13,11,4,7
698,Male,54,No,Travel_Rarely,Human Resources,19,Medical,3,88,Human Resources,2,Married,10725,2,No,15,3,16,1,4,9,7,7,1
699,Male,36,No,Travel_Rarely,Research & Development,9,Medical,2,48,Manufacturing Director,2,Divorced,8847,2,Yes,11,3,13,2,3,3,2,0,2
700,Male,27,No,Travel_Rarely,Research & Development,3,Medical,1,54,Research Scientist,4,Single,2045,0,No,13,3,5,0,3,4,2,1,1
701,Male,20,Yes,Travel_Rarely,Research & Development,10,Medical,4,32,Research Scientist,3,Single,1009,1,Yes,11,3,1,5,3,1,0,1,1
702,Male,33,Yes,Travel_Frequently,Research & Development,3,Life Sciences,1,70,Research Scientist,1,Single,3348,1,Yes,11,3,10,3,3,10,8,9,7
704,Male,35,No,Non-Travel,Research & Development,3,Life Sciences,3,41,Laboratory Technician,3,Married,1281,1,No,18,3,1,3,3,1,0,0,0
705,Male,23,No,Travel_Rarely,Research & Development,4,Medical,1,58,Research Scientist,1,Married,2819,2,No,16,3,5,3,4,3,2,0,2
707,Male,25,No,Travel_Rarely,Sales,8,Life Sciences,4,57,Sales Executive,2,Married,4851,0,No,22,4,4,4,3,3,2,1,2
709,Female,38,No,Travel_Rarely,Sales,7,Marketing,4,46,Sales Executive,4,Single,4028,0,No,20,4,8,2,3,7,7,0,5
710,Male,29,No,Travel_Frequently,Research & Development,1,Life Sciences,2,76,Research Scientist,4,Divorced,2720,1,No,18,3,10,5,3,10,7,2,8
712,Male,48,No,Travel_Rarely,Sales,2,Marketing,2,56,Sales Executive,2,Married,8120,3,No,12,3,12,3,3,2,2,2,2
714,Female,27,No,Travel_Frequently,Sales,3,Medical,4,71,Sales Executive,4,Divorced,4647,1,Yes,20,4,6,3,3,6,5,0,4
715,Male,37,No,Travel_Rarely,Research & Development,10,Life Sciences,4,80,Research Scientist,4,Single,4680,3,No,17,3,4,2,3,1,0,0,0
716,Male,50,No,Travel_Rarely,Research & Development,28,Medical,4,74,Laboratory Technician,3,Married,3221,1,Yes,11,3,20,3,3,20,8,3,8
717,Female,34,No,Travel_Rarely,Research & Development,9,Medical,4,46,Healthcare Representative,2,Single,8621,1,No,14,3,9,3,4,8,7,7,7
720,Female,24,Yes,Travel_Rarely,Sales,3,Life Sciences,1,65,Sales Executive,3,Single,4577,9,No,14,3,4,3,3,2,2,2,0
721,Female,39,No,Travel_Rarely,Research & Development,2,Technical Degree,4,80,Healthcare Representative,3,Single,4553,1,No,11,3,20,4,3,20,7,11,10
722,Male,32,No,Travel_Rarely,Sales,10,Marketing,4,55,Sales Executive,4,Single,5396,1,No,12,3,10,2,2,10,7,0,8
723,Male,50,Yes,Travel_Frequently,Sales,8,Technical Degree,2,50,Sales Executive,3,Married,6796,3,Yes,14,3,18,4,3,4,3,1,3
724,Female,38,No,Travel_Rarely,Research & Development,1,Life Sciences,2,33,Healthcare Representative,4,Single,7625,0,No,13,3,10,4,2,9,7,1,8
725,Female,27,No,Travel_Rarely,Research & Development,1,Life Sciences,3,68,Manufacturing Director,1,Married,7412,1,No,11,3,9,3,3,9,7,0,7
727,Female,32,No,Travel_Rarely,Research & Development,3,Life Sciences,3,39,Research Director,4,Single,11159,3,No,15,3,10,6,3,7,7,7,7
728,Male,47,No,Travel_Rarely,Sales,14,Marketing,4,42,Sales Executive,1,Single,4960,2,No,12,3,20,2,3,7,7,1,7
729,Male,40,No,Travel_Frequently,Sales,5,Life Sciences,4,48,Sales Executive,1,Married,10475,5,Yes,21,4,20,2,3,18,13,1,12
730,Male,53,No,Travel_Rarely,Research & Development,7,Life Sciences,3,59,Research Director,3,Married,14814,3,No,19,3,32,3,3,5,1,1,3
731,Male,41,No,Travel_Rarely,Human Resources,10,Human Resources,2,73,Manager,4,Divorced,19141,3,No,15,3,23,2,2,21,6,12,6
732,Male,60,No,Travel_Rarely,Sales,16,Marketing,1,84,Sales Executive,1,Single,5405,8,No,14,3,10,1,3,2,2,2,2
733,Male,27,No,Travel_Frequently,Research & Development,10,Life Sciences,4,32,Manufacturing Director,1,Divorced,8793,1,No,21,4,9,4,2,9,7,1,7
734,Male,41,No,Travel_Rarely,Human Resources,1,Human Resources,4,59,Manager,3,Married,19189,1,No,12,3,22,3,3,22,7,2,10
738,Male,50,No,Travel_Rarely,Sales,8,Marketing,4,54,Sales Representative,2,Married,3875,7,No,15,3,4,2,3,2,2,2,2
741,Female,28,Yes,Travel_Rarely,Research & Development,1,Life Sciences,1,67,Research Scientist,2,Single,2216,7,Yes,13,3,10,4,3,7,7,3,7
742,Female,36,No,Non-Travel,Research & Development,8,Life Sciences,1,63,Research Director,1,Married,11713,9,No,14,3,10,2,3,8,7,0,5
743,Female,38,No,Travel_Rarely,Research & Development,1,Life Sciences,3,81,Manufacturing Director,3,Single,7861,4,Yes,14,3,10,4,4,1,0,0,0
744,Male,44,No,Non-Travel,Research & Development,24,Medical,1,49,Laboratory Technician,3,Single,3708,2,No,14,3,9,5,3,5,2,1,4
746,Female,47,No,Travel_Frequently,Sales,3,Medical,4,49,Sales Executive,3,Divorced,13770,9,Yes,12,3,28,2,2,22,2,11,13
747,Male,30,No,Travel_Rarely,Sales,27,Marketing,3,99,Sales Executive,4,Divorced,5304,7,No,23,4,10,2,2,8,7,7,7
749,Male,29,No,Travel_Rarely,Sales,10,Life Sciences,3,99,Sales Representative,3,Single,2642,1,No,11,3,1,6,3,1,0,0,0
752,Male,42,Yes,Travel_Frequently,Research & Development,19,Medical,3,57,Research Scientist,3,Divorced,2759,6,Yes,12,3,7,2,3,2,2,2,2
754,Male,43,No,Travel_Frequently,Sales,15,Life Sciences,4,47,Sales Executive,4,Married,6804,3,No,18,3,7,5,3,2,2,2,2
757,Female,34,No,Travel_Rarely,Research & Development,8,Medical,2,96,Healthcare Representative,3,Single,6142,3,No,11,3,10,2,3,5,1,4,3
